ordernumber,quantityordered,price_each,order_line_number,sales,order_date,days_since_lastorder,status,productline,msrp,product_code,customer_name,phone,address_line1,city,postal_code,country,contact_last_name,contact_first_name,dealsize
10225,25,? 99.82,7,"? 2,495.50",22-02-2019,749,shipped,classic cars,? 117.00,S12_3380,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10287,45,? 105.70,10,"? 4,756.50",30-08-2019,565,shipped,classic cars,? 117.00,S12_3380,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,37,? 77.41,10,"? 2,864.17",22-02-2019,799,shipped,classic cars,? 79.00,S12_3990,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10287,41,? 69.43,13,"? 2,846.63",30-08-2019,615,shipped,classic cars,? 79.00,S12_3990,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10225,21,? 127.83,6,"? 2,684.43",22-02-2019,850,shipped,classic cars,? 115.00,S12_4675,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10287,23,? 116.31,9,"? 2,675.13",30-08-2019,666,shipped,classic cars,? 115.00,S12_4675,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10225,32,? 141.54,1,"? 4,529.28",22-02-2019,902,shipped,classic cars,? 141.00,S18_1129,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,41,? 158.52,4,"? 6,499.32",30-08-2019,718,shipped,classic cars,? 141.00,S18_1129,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,47,? 64.68,5,"? 3,039.96",22-02-2019,1047,shipped,classic cars,? 77.00,S18_1889,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,44,? 82.39,8,"? 3,625.16",30-08-2019,863,shipped,classic cars,? 77.00,S18_1889,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,24,? 146.52,3,"? 3,516.48",30-08-2019,889,shipped,classic cars,? 142.00,S18_1984,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,44,? 114.84,1,"? 5,052.96",30-08-2019,1113,shipped,classic cars,? 132.00,S18_2870,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,43,? 149.02,2,"? 6,407.86",22-02-2019,1456,shipped,classic cars,? 169.00,S18_3232,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,36,? 162.57,5,"? 5,852.52",30-08-2019,1277,shipped,classic cars,? 169.00,S18_3232,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,37,? 95.69,12,"? 3,540.53",22-02-2019,1522,shipped,classic cars,? 80.00,S18_3278,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,43,? 70.76,15,"? 3,042.68",30-08-2019,1338,shipped,classic cars,? 80.00,S18_3278,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,27,? 169.04,11,"? 4,564.08",22-02-2019,1569,shipped,classic cars,? 146.00,S18_3482,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,40,? 169.04,14,"? 6,761.60",30-08-2019,1385,shipped,classic cars,? 146.00,S18_3482,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,27,? 159.65,2,"? 4,310.55",30-08-2019,1410,shipped,classic cars,? 141.00,S18_3685,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,35,? 150.29,14,"? 5,260.15",22-02-2019,1792,shipped,classic cars,? 148.00,S18_4721,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,34,? 126.48,17,"? 4,300.32",30-08-2019,1608,shipped,classic cars,? 148.00,S18_4721,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,42,? 36.63,3,"? 1,538.46",22-02-2019,2207,shipped,classic cars,? 37.00,S24_2972,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10287,36,? 39.65,6,"? 1,427.40",30-08-2019,2023,shipped,classic cars,? 37.00,S24_2972,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10225,24,? 50.21,8,"? 1,205.04",22-02-2019,2281,shipped,classic cars,? 61.00,S24_3371,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10287,20,? 67.97,11,"? 1,359.40",30-08-2019,2097,shipped,classic cars,? 61.00,S24_3371,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,small
10225,40,? 113.75,4,"? 4,550.00",22-02-2019,2380,shipped,classic cars,? 140.00,S24_3856,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,36,? 119.37,7,"? 4,297.32",30-08-2019,2196,shipped,classic cars,? 140.00,S24_3856,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10225,46,? 70.33,13,"? 3,235.18",22-02-2019,2527,shipped,classic cars,? 80.00,S24_4620,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,40,? 88.12,16,"? 3,524.80",30-08-2019,2343,shipped,classic cars,? 80.00,S24_4620,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10105,50,? 144.16,2,"? 7,208.00",11-02-2018,939,shipped,classic cars,? 136.00,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,large
10238,28,? 206.24,3,"? 5,774.72",09-04-2019,579,shipped,classic cars,? 194.00,S12_1099,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,41,? 211.96,15,"? 8,690.36",11-02-2018,1015,shipped,classic cars,? 207.00,S12_1108,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,large
10238,29,? 109.22,1,"? 3,167.38",09-04-2019,704,shipped,classic cars,? 117.00,S12_3380,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,29,? 157.45,14,"? 4,566.05",11-02-2018,1140,shipped,classic cars,? 173.00,S12_3891,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10238,20,? 74.21,4,"? 1,484.20",09-04-2019,754,shipped,classic cars,? 79.00,S12_3990,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10406,61,? 137.29,3,"? 8,374.69",15-04-2020,499,disputed,classic cars,? 141.00,S18_1129,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,large
10256,34,? 95.55,2,"? 3,248.70",08-06-2019,824,shipped,vintage cars,? 102.00,S18_1342,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10256,29,? 51.75,1,"? 1,500.75",08-06-2019,848,shipped,vintage cars,? 53.00,S18_1367,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10327,25,? 112.19,6,"? 2,804.75",10-11-2019,748,resolved,planes,? 157.00,S18_1662,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10406,48,? 149.36,2,"? 7,169.28",15-04-2020,670,disputed,classic cars,? 142.00,S18_1984,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,large
10327,45,? 106.26,8,"? 4,781.70",10-11-2019,969,resolved,planes,? 84.00,S18_2581,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10327,25,? 45.86,5,"? 1,146.50",10-11-2019,1118,resolved,ships,? 86.00,S18_3029,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10105,22,? 139.32,11,"? 3,065.04",11-02-2018,1788,shipped,vintage cars,? 136.00,S18_3140,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,38,? 113.95,13,"? 4,330.10",11-02-2018,1864,shipped,trains,? 100.00,S18_3259,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10238,41,? 73.17,6,"? 2,999.97",09-04-2019,1477,shipped,classic cars,? 80.00,S18_3278,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10238,49,? 133.76,5,"? 6,554.24",09-04-2019,1524,shipped,classic cars,? 146.00,S18_3482,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10406,65,? 161.06,1,"? 10,468.90",15-04-2020,1189,disputed,classic cars,? 141.00,S18_3685,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,large
10105,41,? 82.50,10,"? 3,382.50",11-02-2018,2081,shipped,vintage cars,? 87.00,S18_4522,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10238,44,? 144.34,8,"? 6,350.96",09-04-2019,1747,shipped,classic cars,? 148.00,S18_4721,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,43,? 147.47,9,"? 6,341.21",11-02-2018,2376,shipped,ships,? 122.00,S24_2011,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,44,? 72.58,4,"? 3,193.52",11-02-2018,2600,shipped,vintage cars,? 88.00,S24_3151,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10238,47,? 62.45,2,"? 2,935.15",09-04-2019,2236,shipped,classic cars,? 61.00,S24_3371,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10105,50,? 79.67,1,"? 3,983.50",11-02-2018,2722,shipped,vintage cars,? 83.00,S24_3816,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10238,22,? 93.77,7,"? 2,062.94",09-04-2019,2482,shipped,classic cars,? 80.00,S24_4620,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10105,41,? 70.67,5,"? 2,897.47",11-02-2018,3225,shipped,ships,? 66.00,S700_1138,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10105,29,? 70.15,12,"? 2,034.35",11-02-2018,3277,shipped,ships,? 86.00,S700_1938,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10327,20,? 173.46,7,"? 3,469.20",10-11-2019,2658,resolved,ships,? 86.00,S700_1938,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,31,? 65.77,3,"? 2,038.87",11-02-2018,3354,shipped,ships,? 72.00,S700_2610,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10327,21,? 96.31,1,"? 2,022.51",10-11-2019,2736,resolved,ships,? 72.00,S700_2610,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10105,39,? 81.14,6,"? 3,164.46",11-02-2018,3457,shipped,ships,? 100.00,S700_3505,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10327,43,? 80.00,2,"? 3,440.00",10-11-2019,2839,resolved,ships,? 100.00,S700_3505,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,22,? 116.19,7,"? 2,556.18",11-02-2018,3483,shipped,ships,? 99.00,S700_3962,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10327,37,? 86.61,3,"? 3,204.57",10-11-2019,2865,resolved,ships,? 99.00,S700_3962,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10105,25,? 56.78,8,"? 1,419.50",11-02-2018,3562,shipped,ships,? 54.00,S72_3212,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,small
10327,37,? 86.74,4,"? 3,209.38",10-11-2019,2944,resolved,ships,? 54.00,S72_3212,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,medium
10391,24,? 100.69,4,"? 2,416.56",09-03-2020,131,shipped,classic cars,? 214.00,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10370,35,? 65.63,4,"? 2,297.05",20-01-2020,279,shipped,classic cars,? 147.00,S10_4962,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10391,37,? 46.90,7,"? 1,735.30",09-03-2020,231,shipped,classic cars,? 147.00,S10_4962,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10169,30,? 167.33,2,"? 5,019.90",04-11-2018,729,shipped,classic cars,? 194.00,S12_1099,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10370,49,? 172.86,8,"? 8,470.14",20-01-2020,355,shipped,trucks and buses,? 136.00,S12_1666,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,large
10391,39,? 63.20,9,"? 2,464.80",09-03-2020,307,shipped,trucks and buses,? 136.00,S12_1666,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10169,35,? 132.55,13,"? 4,639.25",04-11-2018,805,shipped,motorcycles,? 150.00,S12_2823,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10169,36,? 63.84,3,"? 2,298.24",04-11-2018,904,shipped,classic cars,? 79.00,S12_3990,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10370,27,? 144.87,1,"? 3,911.49",20-01-2020,556,shipped,trucks and buses,? 116.00,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10391,29,? 85.10,10,"? 2,467.90",09-03-2020,508,shipped,trucks and buses,? 116.00,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,23,? 117.48,13,"? 2,702.04",11-09-2018,1059,shipped,classic cars,? 141.00,S18_1129,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10391,35,? 158.54,2,"? 5,548.90",09-03-2020,560,shipped,vintage cars,? 102.00,S18_1342,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10391,42,? 119.00,3,"? 4,998.00",09-03-2020,583,shipped,vintage cars,? 53.00,S18_1367,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10148,47,? 124.44,9,"? 5,848.68",11-09-2018,1133,shipped,classic cars,? 124.00,S18_1589,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10148,25,? 169.28,12,"? 4,232.00",11-09-2018,1230,shipped,classic cars,? 142.00,S18_1984,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10370,22,? 179.50,5,"? 3,949.00",20-01-2020,828,shipped,trucks and buses,? 122.00,S18_2319,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10370,22,? 96.86,7,"? 2,130.92",20-01-2020,879,shipped,trucks and buses,? 60.00,S18_2432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10391,44,? 38.50,5,"? 1,694.00",09-03-2020,831,shipped,trucks and buses,? 60.00,S18_2432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,27,? 130.68,10,"? 3,528.36",11-09-2018,1454,shipped,classic cars,? 132.00,S18_2870,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10391,32,? 45.25,6,"? 1,448.00",09-03-2020,954,shipped,vintage cars,? 101.00,S18_2949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,32,? 169.34,14,"? 5,418.88",11-09-2018,1608,shipped,classic cars,? 169.00,S18_3232,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10370,27,? 56.85,9,"? 1,534.95",20-01-2020,1148,shipped,classic cars,? 169.00,S18_3232,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10169,32,? 70.76,5,"? 2,264.32",04-11-2018,1627,shipped,classic cars,? 80.00,S18_3278,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10169,36,? 123.47,4,"? 4,444.92",04-11-2018,1674,shipped,classic cars,? 146.00,S18_3482,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10148,28,? 129.98,11,"? 3,639.44",11-09-2018,1751,shipped,classic cars,? 141.00,S18_3685,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10169,38,? 68.39,8,"? 2,598.82",04-11-2018,1723,shipped,motorcycles,? 62.00,S18_3782,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,34,? 105.83,1,"? 3,598.22",11-09-2018,1851,shipped,vintage cars,? 92.00,S18_4409,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10370,29,? 57.53,6,"? 1,668.37",20-01-2020,1422,shipped,trucks and buses,? 121.00,S18_4600,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10370,20,? 136.50,2,"? 2,730.00",20-01-2020,1448,shipped,vintage cars,? 50.00,S18_4668,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10169,33,? 148.80,7,"? 4,910.40",04-11-2018,1898,shipped,classic cars,? 148.00,S18_4721,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10148,29,? 81.25,2,"? 2,356.25",11-09-2018,1973,shipped,classic cars,? 71.00,S18_4933,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,25,? 60.26,6,"? 1,506.50",11-09-2018,1995,shipped,classic cars,? 73.00,S24_1046,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,47,? 56.85,8,"? 2,671.95",11-09-2018,2071,shipped,classic cars,? 50.00,S24_1628,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10391,33,? 252.87,8,"? 8,344.71",09-03-2020,1591,shipped,vintage cars,? 33.00,S24_1937,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,large
10391,24,? 168.42,1,"? 4,042.08",09-03-2020,1666,shipped,vintage cars,? 44.00,S24_2022,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10169,38,? 74.11,11,"? 2,816.18",04-11-2018,2190,shipped,motorcycles,? 69.00,S24_2360,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,21,? 73.60,4,"? 1,545.60",11-09-2018,2266,shipped,classic cars,? 90.00,S24_2766,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,34,? 129.18,3,"? 4,392.12",11-09-2018,2342,shipped,classic cars,? 117.00,S24_2887,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10148,31,? 73.62,5,"? 2,282.22",11-09-2018,2415,shipped,classic cars,? 85.00,S24_3191,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10169,34,? 50.21,1,"? 1,707.14",04-11-2018,2386,shipped,classic cars,? 61.00,S24_3371,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10148,27,? 128.50,7,"? 3,469.50",11-09-2018,2489,shipped,classic cars,? 107.00,S24_3432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,medium
10169,24,? 94.58,6,"? 2,269.92",04-11-2018,2633,shipped,classic cars,? 80.00,S24_4620,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
10169,26,? 39.83,9,"? 1,035.58",04-11-2018,2707,shipped,motorcycles,? 40.00,S32_2206,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,small
